source,question,answer
Riding The Entrepreneurial Rodeo,What topics will be covered in the Riding The Entrepreneurial Rodeo session?,"The session covers how founder leadership evolves from early-stage creation to full scale, the emotional challenges of the founder journey, and the role of mentors, advisors, and support systems at pivotal moments."
Riding The Entrepreneurial Rodeo,Which stage is the Riding The Entrepreneurial Rodeo session being held on?,"It is being held on the Founders Stage, and it falls under the Founder Leadership theme."
"Opening Remarks: Why the UK, Why Now?",What time does the Opening Remarks session start?,"The Opening Remarks session titled 'Why the UK, Why Now?' starts at 13:00 and runs until 13:10."
"Opening Remarks: Why the UK, Why Now?","Which stage is the 'Why the UK, Why Now?' session being held on?",The session is being held on the Ignition Stage.
"Opening Remarks: Why the UK, Why Now?",What topics will be covered in the Opening Remarks session?,"The session will cover why the UK is a leading destination for founders and top international talent, as well as the latest trends shaping careers, entrepreneurship, and innovation in the UK."
Rethinking SaaS for the AI-Driven Enterprise,What time does the SaaS and AI session start on the Core Stage?,The session 'Rethinking SaaS for the AI-Driven Enterprise' takes place from 10:10 to 10:30 on the Core Stage.
Rethinking SaaS for the AI-Driven Enterprise,What topics will be covered in the Rethinking SaaS for the AI-Driven Enterprise talk?,"The session will cover how enterprises are redefining contracts with cloud providers and MSPs for AI-driven goals, which traditional SaaS functions AI agents can perform more effectively to cut costs and boost agility, and how the SaaS market is expected to evolve in the AI era."
Rethinking SaaS for the AI-Driven Enterprise,Which theme does the Rethinking SaaS for the AI-Driven Enterprise session fall under?,The session falls under the 'Enterprise Resilience' theme.
Grow London Global,What time does the Grow London Global session start?,The Grow London Global session starts at 11:30 and runs until 13:00.
Grow London Global,Which stage is hosting the Grow London Global event?,The Grow London Global event is hosted on the Ignition Stage.
Grow London Global,What theme is associated with the Grow London Global session?,The Grow London Global session falls under the Intelligence 2.0 theme.
Networking Break,When is the networking break at the AI Arena?,The networking break at the AI Arena takes place from 13:05 to 14:00.
Networking Break,How long does the networking break last?,"The networking break lasts 55 minutes, running from 13:05 to 14:00."
Networking Break,Which theme is associated with the networking break at the AI Arena?,The networking break at the AI Arena is associated with the Applied AI theme.
Chairperson's Opening Remarks,What time do the Chairperson's Opening Remarks start?,The Chairperson's Opening Remarks are scheduled to start at 09:30 and run until 09:35.
Chairperson's Opening Remarks,Which stage are the Chairperson's Opening Remarks taking place on?,The Chairperson's Opening Remarks will be held on the Core Stage.
Chairperson's Opening Remarks,What theme is associated with the Chairperson's Opening Remarks?,The Chairperson's Opening Remarks fall under the Enterprise Resilience theme.
Transforming Customer Data into Deeper Relationships,What time does the customer data session start on the Core Stage?,The session 'Transforming Customer Data into Deeper Relationships' takes place from 11:45 to 12:20 on the Core Stage.
Transforming Customer Data into Deeper Relationships,What topics will be covered in the Transforming Customer Data into Deeper Relationships session?,"The session will explore new methods for turning raw customer information into actionable data, how behavioural, demographic, and transactional data are being used to strengthen customer relationships, and whether companies with a holistic view of the customer hold a competitive advantage in 2026."
Transforming Customer Data into Deeper Relationships,Which theme does the Transforming Customer Data into Deeper Relationships talk fall under?,This session falls under the 'Data & AI Excellence' theme at London Tech Week 2026.
Changing Lives Through Tech: Innovations to Prevent Homelessness,What time does the homelessness prevention tech session start?,The session 'Changing Lives Through Tech: Innovations to Prevent Homelessness' takes place from 15:00 to 15:30.
Changing Lives Through Tech: Innovations to Prevent Homelessness,Who is hosting the Changing Lives Through Tech session at London Tech Week?,The session is hosted in partnership with Venture Studio from Crisis and Homewards.
Changing Lives Through Tech: Innovations to Prevent Homelessness,What can I expect to see at the homelessness innovations pitch session?,"You can expect to hear from five entrepreneurs pitching their innovations that use data and technology to prevent homelessness, and learn how philanthropic capital can help drive long-term, systems change."
Installing Impenetrable IoT & Remote Device Security,What time does the IoT security session start?,The session 'Installing Impenetrable IoT & Remote Device Security' starts at 14:40 and runs until 15:00.
Installing Impenetrable IoT & Remote Device Security,Which stage and theme is the IoT and remote device security talk part of?,The talk takes place on the Core Stage and falls under the Enterprise Resilience theme.
Installing Impenetrable IoT & Remote Device Security,What topics will be covered in the IoT security session?,"The session will explore advanced security initiatives that go beyond secure-by-design principles, discuss how tech leaders are ensuring embedded software is secure to reduce the need for real-time patching, and look at future risks posed by IoT and remote device use along with strategies tech executives can use to defend against those risks."
Securing the Cloud: Best Practices for 2026 and Beyond,What time does the cloud security session start?,The session 'Securing the Cloud: Best Practices for 2026 and Beyond' starts at 11:25 and runs until 11:45.
Securing the Cloud: Best Practices for 2026 and Beyond,What specific cloud security threats will be discussed in this talk?,"The talk will explore common threats to cloud security including misconfigurations and insecure interfaces, as well as the broader risks associated with increasing workload migration to the cloud."
Securing the Cloud: Best Practices for 2026 and Beyond,Will AI be covered in the cloud security session?,"Yes, the session will explore how businesses are implementing AI-powered threat detection, as well as autonomous monitoring and response capabilities to build more robust cloud defences."
Exploring the Value of Generative AI to Enterprises in 2026,What time does the Generative AI session start?,The session 'Exploring the Value of Generative AI to Enterprises in 2026' starts at 11:30 and runs until 12:05.
Exploring the Value of Generative AI to Enterprises in 2026,Which stage is the enterprise Gen AI talk being held on?,The session is being held on the AI Arena stage.
Exploring the Value of Generative AI to Enterprises in 2026,What topics will be covered in the Generative AI enterprises session?,"The session will explore how Gen AI has delivered tangible value to enterprises, where its impact has been greatest, what untapped potential remains, and whether enterprise focus may be shifting away from Gen AI towards Agentic AI."
Networking Break,When is the Networking Break taking place?,The Networking Break is scheduled from 13:00 to 14:00.
Networking Break,Which stage is hosting the Networking Break?,The Networking Break is hosted at the Founders Stage.
Networking Break,What theme is the Networking Break associated with?,The Networking Break falls under the People & Culture theme.
Olivia Brooks,Who is Olivia Brooks and what does she do?,"Olivia Brooks is an Investor at Founders Factory, a company that supports the development of startups and new ventures."
Olivia Brooks,Which company does Olivia Brooks represent at London Tech Week 2026?,Olivia Brooks represents Founders Factory at London Tech Week 2026.
Olivia Brooks,What is Olivia Brooks's role at Founders Factory?,Olivia Brooks serves as an Investor at Founders Factory.
Maren Bannon,Who is Maren Bannon and what is her role at January Ventures?,Maren Bannon is the Co-Founder and Managing Partner of January Ventures.
Maren Bannon,What company is Maren Bannon associated with at London Tech Week 2026?,"Maren Bannon is associated with January Ventures, where she serves as Co-Founder and Managing Partner."
Maren Bannon,Is Maren Bannon a founder of her firm or did she join later?,"Maren Bannon is a Co-Founder of January Ventures, meaning she helped establish the firm, and she also serves as its Managing Partner."
Maddy Bergen,Who is Maddy Bergen?,Maddy Bergen is the Co-Founder of Elektra and a speaker at London Tech Week 2026.
Maddy Bergen,What company is Maddy Bergen associated with?,"Maddy Bergen is associated with Elektra, where she serves as Co-Founder."
Maddy Bergen,What is Maddy Bergen's role at Elektra?,Maddy Bergen is a Co-Founder at Elektra.
Rajesh Agrawal,Who is Rajesh Agrawal?,"Rajesh Agrawal is the Deputy Mayor for Business, representing a key leadership role focused on business development and economic growth in London."
Rajesh Agrawal,What is Rajesh Agrawal's role at London Tech Week 2026?,"Rajesh Agrawal is participating as a speaker at London Tech Week 2026, bringing his perspective as Deputy Mayor for Business."
Rajesh Agrawal,What position does Rajesh Agrawal hold?,Rajesh Agrawal holds the position of Deputy Mayor for Business.
Clare Barclay,Who is Clare Barclay?,Clare Barclay is the CEO of Microsoft UK and a speaker at London Tech Week 2026.
Clare Barclay,What company does Clare Barclay represent at London Tech Week 2026?,Clare Barclay represents Microsoft UK at London Tech Week 2026.
Clare Barclay,What is Clare Barclay's role at Microsoft?,Clare Barclay serves as the Chief Executive Officer (CEO) of Microsoft UK.
Chris Adams,Who is Chris Adams?,Chris Adams is the Co-Founder and CEO of OTHERWORLD.
Chris Adams,What company does Chris Adams represent at London Tech Week 2026?,Chris Adams represents OTHERWORLD at London Tech Week 2026.
Chris Adams,What is Chris Adams's role at OTHERWORLD?,Chris Adams serves as the Co-Founder and CEO of OTHERWORLD.
Euan Blair MBE,Who is Euan Blair and what is his role at London Tech Week 2026?,Euan Blair MBE is a speaker at London Tech Week 2026. He is the Founder and CEO of Multiverse.
Euan Blair MBE,What company does Euan Blair lead?,"Euan Blair leads Multiverse, where he serves as the Founder and CEO."
Euan Blair MBE,Does Euan Blair have any honours or awards?,"Yes, Euan Blair holds an MBE, which is indicated by the post-nominal letters after his name."
Amir Arooni,Who is Amir Arooni and what does he do?,Amir Arooni is the Executive Vice President and Chief Information Officer (CIO) at Discover Financial Services.
Amir Arooni,What company does Amir Arooni represent at London Tech Week 2026?,Amir Arooni represents Discover Financial Services at London Tech Week 2026.
Amir Arooni,What is Amir Arooni's role at Discover Financial Services?,Amir Arooni holds the position of Executive Vice President and CIO at Discover Financial Services.
Pamina Bou,Who is Pamina Bou and what does she do?,Pamina Bou is the Director of Corporate Strategy at Dream Reality Interactive.
Pamina Bou,Which company does Pamina Bou represent at London Tech Week 2026?,Pamina Bou represents Dream Reality Interactive at London Tech Week 2026.
Pamina Bou,What is Pamina Bou's role at Dream Reality Interactive?,Pamina Bou holds the position of Director of Corporate Strategy at Dream Reality Interactive.
"Dr
					
					Sophie Bostock",Who is Dr Sophie Bostock?,Dr Sophie Bostock is the Founder of The Sleep Scientist and a speaker at London Tech Week 2026.
"Dr
					
					Sophie Bostock",What company does Dr Sophie Bostock represent at London Tech Week 2026?,Dr Sophie Bostock represents The Sleep Scientist at London Tech Week 2026.
"Dr
					
					Sophie Bostock",What is Dr Sophie Bostock's role at The Sleep Scientist?,Dr Sophie Bostock is the Founder of The Sleep Scientist.
Zahra Bahrololoumi,Who is Zahra Bahrololoumi?,"Zahra Bahrololoumi is the EVP & CEO UKI at Salesforce, and she is a speaker at London Tech Week 2026."
Zahra Bahrololoumi,What company does Zahra Bahrololoumi represent at London Tech Week 2026?,Zahra Bahrololoumi represents Salesforce at London Tech Week 2026.
Zahra Bahrololoumi,What is Zahra Bahrololoumi's role at Salesforce?,Zahra Bahrololoumi holds the position of EVP & CEO UKI at Salesforce.
Steve Blank,Who is Steve Blank?,Steve Blank is known as the Father of Modern Entrepreneurship and is a speaker at London Tech Week 2026.
Steve Blank,What is Steve Blank famous for?,"Steve Blank is recognised as the Father of Modern Entrepreneurship, a title that reflects his significant contributions to the field of startups and entrepreneurship."
Steve Blank,Is Steve Blank speaking at London Tech Week 2026?,"Yes, Steve Blank, widely regarded as the Father of Modern Entrepreneurship, is a speaker at London Tech Week 2026."
Luisa Alemany,Who is Luisa Alemany?,Luisa Alemany is the Academic Director of the Institute of Entrepreneurship and Private Capital at London Business School.
Luisa Alemany,What institution does Luisa Alemany represent at London Tech Week 2026?,Luisa Alemany represents London Business School at London Tech Week 2026.
Luisa Alemany,What is Luisa Alemany's role at London Business School?,Luisa Alemany serves as the Academic Director of the Institute of Entrepreneurship and Private Capital at London Business School.
Nitika Agarwal,Who is Nitika Agarwal and what does she do?,Nitika Agarwal is the Head of Policy for Sustainable Finance at WWF.
Nitika Agarwal,Which organisation does Nitika Agarwal represent at London Tech Week 2026?,Nitika Agarwal represents WWF at London Tech Week 2026.
Nitika Agarwal,What is Nitika Agarwal's area of focus in her role at WWF?,Nitika Agarwal focuses on sustainable finance policy in her role as Head of Policy for Sustainable Finance at WWF.
Arvin Abraham,Who is Arvin Abraham?,"Arvin Abraham is a Partner at McDermott Will & Emery, and he is a speaker at London Tech Week 2026."
Arvin Abraham,What company does Arvin Abraham represent at London Tech Week 2026?,"Arvin Abraham represents McDermott Will & Emery, a law firm, at London Tech Week 2026."
Arvin Abraham,What is Arvin Abraham's role at McDermott Will & Emery?,Arvin Abraham holds the position of Partner at McDermott Will & Emery.
LTW FAQ,How do I collect my badge?,"Use the QR code in your confirmation email to collect your badge onsite at Olympia London. AI Summit badges must be collected separately at Tobacco Dock."
LTW FAQ,Where is London Tech Week held?,"London Tech Week 2026 takes place at Olympia London, with the expo and content stages running 8-10 June and the Fringe programme across London 8-12 June."
LTW FAQ,How do I get to the venue?,"It's quickest to travel by public transport. Kensington (Olympia) Station is right next to the venue, and it's also walking distance from West Kensington and Barons Court underground stations."
LTW FAQ,What does my pass include?,"Your pass benefits depend on the pass type you bought. Check the event website, your registration account, or your confirmation email for details. Note that The AI Summit London and Fringe Events require a separate add-on or registration."
LTW FAQ,What payment methods are accepted?,"Credit card payments are accepted online or onsite. Cash is not accepted."
LTW FAQ,Can I get a refund?,"Refunds are available for cancellations made by 12 April 2026. No refunds are given for cancellations on or after 13 April 2026, or once event platforms including the app have been accessed."
LTW FAQ,Do I need a visa to attend?,"Check GOV.UK for requirements based on your nationality. U.S. citizens may need an ETA for short visits. You can request a Visa Invitation Letter during registration once your registration is complete and paid in full."
LTW FAQ,What are the dates for London Tech Week 2026?,"The expo and content stages run 8-10 June 2026 at Olympia London, and the Fringe Event programme runs 8-12 June 2026 across London."
LTW Hackathon,Is there a hackathon at London Tech Week?,"Yes. The London Tech Week Hackathon is a one-day innovation sprint on Wednesday 10 June 2026, running 8:00 to 18:00 at Olympia London's International Convention Centre (ICC)."
LTW Hackathon,When and where is the hackathon?,"The hackathon takes place on Wednesday 10 June 2026 from 8:00 to 18:00, in the International Convention Centre (ICC) at Olympia London."
LTW Hackathon,Who takes part in the hackathon?,"It brings together around 200 hackers plus 50 mentors and judges, including senior university students, developers, researchers, founders, and industry specialists, working on real-world national challenges."
LTW Hackathon,What challenges does the hackathon focus on?,"Teams build prototypes across national-priority areas including Defence and Cyber Security, Health and Life Sciences, and Education and Skills."
LTW EQL Lounge,What is the EQL:Lounge?,"The EQL:Lounge, hosted by Tech She Can, is a three-day programme of fireside chats, panels, workshops, and networking that spotlights women building, funding, and leading innovation across areas like AI, quantum, fintech, and climate tech."
LTW Quiet Room,Is there a quiet room or wellbeing space?,"Yes. The SensoryCalm Quiet Room, run with EventWell, is a professionally supervised, calm space away from the event floor. It's located in the Grand Gallery and also houses the CalmHub."
LTW Quiet Room,What is the CalmHub?,"The CalmHub offers drop-in small-group workshops including guided breathwork, chair yoga, sound healing, and short micro-learning sessions on mental health, wellbeing, and neurodiversity. It runs across all three event days."
LTW Childcare,Does London Tech Week offer childcare?,"Yes. Complimentary on-site childcare is provided by Nipperbout, a specialist provider, throughout the event. It accommodates children aged 2-17, taking up to 10 children at a time, and places should be booked in advance."
LTW Childcare,Can I bring my children to London Tech Week?,"Children aged 2-17 are welcome at the dedicated on-site childcare facility. Children under 15 are not permitted on the show floor and must be accompanied to the childcare facility on arrival. Infants under two may accompany a parent throughout the venue."
LTW Childcare,Is there a nursing or baby care room?,"Yes. A dedicated nursing and infant care area is in the National Meeting Room at Olympia London, with comfortable seating and power points for breast pumps. Nappy changing facilities are in the accessible toilet nearby."
LTW Childcare,How do I book childcare?,"Email the Registration Team at registration@londontechweek.com and they will arrange the service and guide you through the Child Attendance Waiver."
LTW FAQ,How do I collect my badge or where do I register on arrival?,"Use the QR code in your confirmation email to collect your badge onsite at Olympia London. AI Summit badges are collected separately at Tobacco Dock."
LTW FAQ,Is there accessibility support at the event?,"Yes. For additional accessibility needs, contact the Registration Team at registration@londontechweek.com by 8 May 2026, and the team will make efforts to accommodate your request."
LTW FAQ,Is there a code of conduct?,"Yes. London Tech Week has a Code of Conduct that all attendees are expected to follow. The full document is available on the London Tech Week website under the Attend menu."
